Commodity Year,Commodity Name,Delivery Type Code,Delivery Type Name,Insurance Plan Abbrv,Policies Sold,Policies Earning Prem,Policies Indemnified,Units Earning Prem,Units Indemnified,Quantity,Quantity Type,Companion/Endorsed Acres,Liabilities ($),Total Prem ($),Subsidy ($),Indemnity ($),EFA Prem Discount ($),Addnl Subsidy ($),State Subsidy ($),Earn Prem Rate,Loss Ratio
2017,Carambola Trees,RBUP,Reinsured Buyup,TDO,5,5,0,8,0,18423,Trees,0,1723708,64796,36291,0,0,0,0,0.037591,0
2017,Carambola Trees,RCAT,Reinsured Catastrophic,TDO,3,2,0,2,0,3076,Trees,0,109967,622,622,0,0,0,0,0.005656,0
2017,Cattle,RBUP,Reinsured Buyup,LGM,31,19,3,38,3,13012,Head,0,17432127,682741,0,11384,0,0,0,0.039165,0.016673
2017,Cherries,RBUP,Reinsured Buyup,ARH,2201,1994,540,3420,685,83495,Acres,0,484226345,55924045,31659239,31626472,0,0,0,0.115491,0.565525
2017,Chile Peppers,RBUP,Reinsured Buyup,DOL,13,2,0,3,0,306,Acres,0,241817,17861,10008,0,0,0,0,0.073861,0
2017,Chile Peppers,RCAT,Reinsured Catastrophic,DOL,40,12,0,14,0,1431,Acres,0,497461,11569,11569,0,0,0,0,0.023256,0
2017,Cigar Binder Tobacco,RBUP,Reinsured Buyup,APH,226,160,30,344,50,2891,Acres,0,18534721,5093939,3095844,2160614,0,0,0,0.274832,0.424153
2017,Cigar Binder Tobacco,RCAT,Reinsured Catastrophic,APH,6,5,0,11,0,183,Acres,0,565032,120084,120084,0,0,0,0,0.212526,0
2017,Cigar Filler Tobacco,RBUP,Reinsured Buyup,APH,11,9,0,11,0,108,Acres,0,290956,4514,2217,0,0,0,0,0.015514,0
2017,Cigar Wrapper Tobacco,RBUP,Reinsured Buyup,APH,15,4,1,10,1,76,Acres,0,1386754,178840,102088,286125,0,0,0,0.128963,1.599893
2017,Cigar Wrapper Tobacco,RCAT,Reinsured Catastrophic,APH,2,0,0,0,0,0,Acres,0,0,0,0,0,0,0,0,0,0
2017,Clams,RBUP,Reinsured Buyup,AQU,37,19,0,65,0,268890130,# of Clams,0,13165851,356877,211701,0,0,0,0,0.027106,0
2017,Clams,RCAT,Reinsured Catastrophic,AQU,3,0,0,0,0,0,# of Clams,0,0,0,0,0,0,0,0,0,0
2017,Clary Sage,RBUP,Reinsured Buyup,APH,104,81,31,195,76,20308,Acres,0,14883500,1645051,1136053,1550586,0,0,0,0.110528,0.942576
2017,Clary Sage,RCAT,Reinsured Catastrophic,APH,5,4,0,4,0,1717,Acres,0,472221,26316,26316,0,0,0,0,0.055728,0
2017,Coffee,RBUP,Reinsured Buyup,APH,90,81,3,110,3,4331,Acres,0,16808836,412845,244544,21103,0,0,0,0.024561,0.051116
2017,Coffee Tree,RBUP,Reinsured Buyup,TDO,27,23,0,61,0,428395,Trees,0,10351218,68788,40968,0,0,0,0,0.006645,0
2017,Coffee Tree,RCAT,Reinsured Catastrophic,TDO,5,5,0,5,0,3994975,Trees,0,10546054,16149,16149,0,0,0,0,0.001531,0
2017,Corn,RBUP,Reinsured Buyup,ARP,5613,4291,0,12362,0,1248161,Acres,0,961465649,85968726,38047381,0,0,0,0,0.089414,0
2017,Corn,RBUP,Reinsured Buyup,ARPHP,79,63,0,114,0,10089,Acres,0,7118917,453504,202435,0,0,0,0,0.063704,0
2017,Corn,RBUP,Reinsured Buyup,AYP,982,693,0,1487,0,140427,Acres,0,97787566,4474633,2305026,0,0,0,0,0.045758,0
2017,Corn,RBUP,Reinsured Buyup,MP,11,4,0,4,0,0,Acres,682,650382,15206,7086,0,0,0,0,0.02338,0
2017,Corn,RBUP,Reinsured Buyup,RP,480790,328970,81068,594315,115383,71075029,Acres,0,36034529625,3244011490,2028807038,1021345505,0,0,0,0.090025,0.31484
2017,Corn,RBUP,Reinsured Buyup,RPHPE,3334,2608,617,4153,811,563517,Acres,0,327084034,14562880,8613786,5906285,0,0,0,0.044523,0.405571
2017,Corn,RBUP,Reinsured Buyup,SCOH,14,5,0,27,0,0,Acres,1717,128711,25184,16371,0,0,0,0,0.195663,0
2017,Corn,RBUP,Reinsured Buyup,SCOR,1626,864,0,2972,0,0,Acres,234336,13186575,4452148,2898001,0,0,0,0,0.337627,0
2017,Corn,RBUP,Reinsured Buyup,SCOY,83,47,0,118,0,0,Acres,13565,2022882,56079,36489,0,0,0,0,0.027722,0
2017,Corn,RBUP,Reinsured Buyup,YP,51281,26601,4563,52260,7212,3741853,Acres,0,1602042079,90386794,56629059,59627611,0,0,0,0.056419,0.659693
2017,Corn,RCAT,Reinsured Catastrophic,AYP,36,24,0,83,0,13011,Acres,0,4191709,147414,147414,0,0,0,0,0.035167,0
2017,Corn,RCAT,Reinsured Catastrophic,YP,16587,6993,426,9702,466,2066713,Acres,0,367805447,7011766,7001101,3325307,0,0,0,0.019063,0.474246
2017,Cotton,RBUP,Reinsured Buyup,ARP,11,9,0,18,0,3824,Acres,0,3452956,22440,12926,0,0,0,0,0.006498,0
2017,Cotton,RBUP,Reinsured Buyup,AYP,8,1,0,1,0,68,Acres,0,37160,372,219,0,0,0,0,0.01001,0
2017,Cotton,RBUP,Reinsured Buyup,RP,59878,33693,8601,95139,18339,9513026,Acres,0,3886225141,738317544,502949597,378554570,0,0,0,0.189983,0.512725
2017,Cotton,RBUP,Reinsured Buyup,RPHPE,111,49,12,186,43,18116,Acres,0,6455967,1108031,738609,679357,0,0,0,0.171628,0.61312
2017,Cotton,RBUP,Reinsured Buyup,SCOH,1,0,0,0,0,0,Acres,0,0,0,0,0,0,0,0,0,0
2017,Cotton,RBUP,Reinsured Buyup,SCOR,75,23,0,84,0,0,Acres,5889,488658,259362,168588,0,0,0,0,0.530763,0
2017,Cotton,RBUP,Reinsured Buyup,SCOY,10,6,0,9,0,0,Acres,891,190230,6252,4063,0,0,0,0,0.032865,0
2017,Cotton,RBUP,Reinsured Buyup,STAXH,5,5,0,23,0,0,Acres,2593,227419,89318,71453,0,0,0,0,0.392746,0
2017,Cotton,RBUP,Reinsured Buyup,STAXP,12105,8154,0,37014,0,25900,Acres,2934268,354196088,130762797,104852551,0,0,0,0,0.369181,0
2017,Cotton,RBUP,Reinsured Buyup,YP,14152,6070,959,15462,1685,1206635,Acres,0,499818677,55709196,36706470,23383413,0,0,0,0.111458,0.41974
2017,Cotton,RCAT,Reinsured Catastrophic,YP,7604,2508,182,4980,247,952684,Acres,0,191243164,6979295,6971930,2471188,0,0,0,0.036494,0.354074
2017,Cotton Ex Long Staple,RBUP,Reinsured Buyup,APH,862,354,73,1030,167,203477,Acres,0,267932699,20518339,11807027,12705662,0,0,0,0.07658,0.619234
2017,Cotton Ex Long Staple,RBUP,Reinsured Buyup,SCOY,27,14,0,33,0,0,Acres,7279,3482126,227205,147681,0,0,0,0,0.065248,0
2017,Cotton Ex Long Staple,RCAT,Reinsured Catastrophic,APH,326,142,0,170,0,50786,Acres,0,27321987,394195,394195,0,0,0,0,0.014427,0
2017,Cranberries,RBUP,Reinsured Buyup,APH,448,426,66,553,78,21855,Acres,0,91899520,3039606,1795586,3228683,0,0,0,0.033075,1.062204
2017,Cranberries,RCAT,Reinsured Catastrophic,APH,99,89,2,90,2,10484,Acres,0,19804215,197217,197217,10457,0,0,0,0.009958,0.053022
2017,Cucumbers,RBUP,Reinsured Buyup,APH,253,103,42,394,67,24243,Acres,0,18072693,1578365,885373,928216,0,0,0,0.087334,0.588087
2017,Cucumbers,RCAT,Reinsured Catastrophic,APH,21,11,0,11,0,2731,Acres,0,736587,13185,13185,0,0,0,0,0.0179,0
2017,Cultivated Wild Rice,RBUP,Reinsured Buyup,APH,83,53,6,101,7,25187,Acres,0,24882163,1300164,773922,336866,0,0,0,0.052252,0.259095
2017,Cultivated Wild Rice,RCAT,Reinsured Catastrophic,APH,2,1,0,1,0,93,Acres,0,23685,1142,1142,0,0,0,0,0.048216,0
2017,Dairy Cattle,RBUP,Reinsured Buyup,LGM,1618,283,162,1085,216,18576549,Hundred Weight of Milk,0,305265764,6570580,2951563,2134330,0,0,0,0.021524,0.324831
2017,Dark Air Tobacco,RBUP,Reinsured Buyup,APH,1005,583,31,936,36,5822,Acres,0,26098138,1266675,706827,1092152,0,0,0,0.048535,0.862219
2017,Dark Air Tobacco,RCAT,Reinsured Catastrophic,APH,29,11,0,26,0,247,Acres,0,456228,5737,5737,0,0,0,0,0.012574,0
2017,Dry Beans,RBUP,Reinsured Buyup,APH,13169,2188,543,5076,883,314627,Acres,0,148339275,16183963,9243337,15472565,0,0,0,0.1091,0.956043
2017,Dry Beans,RBUP,Reinsured Buyup,RP,8992,2721,887,6626,1500,793502,Acres,0,287263145,47939472,30531792,17164693,0,0,0,0.166883,0.358049
2017,Dry Beans,RBUP,Reinsured Buyup,RPHPE,89,50,18,168,34,9299,Acres,0,3884527,374619,210997,115762,0,0,0,0.096438,0.309012
2017,Dry Beans,RBUP,Reinsured Buyup,SCOR,4,0,0,0,0,0,Acres,0,0,0,0,0,0,0,0,0,0
2017,Dry Beans,RBUP,Reinsured Buyup,SCOY,4,2,0,2,0,0,Acres,90,11139,1175,764,0,0,0,0,0.105485,0
